Xstart,Xstop,Xtime,Xmeasurement,host,topic,decodedXpayload_humidity,decodedXpayload_temperature,time
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T08:01:08.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,95.39253833829252,NA,2022-06-03T06:01:08.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T08:11:05.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,91.70748455024034,NA,2022-06-03T06:11:05.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T08:31:00.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,88.09185931181813,NA,2022-06-03T06:31:00.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T08:40:58.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,88.16662851911192,NA,2022-06-03T06:40:58.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T08:50:55.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,87.7981231403067,NA,2022-06-03T06:50:55.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T09:00:52.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,83.82734416723889,NA,2022-06-03T07:00:52.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T09:20:47.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,71.63462272068361,NA,2022-06-03T07:20:47.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T09:30:45.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,74.12603952086671,NA,2022-06-03T07:30:45.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T09:40:41.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,68.5343709468223,NA,2022-06-03T07:40:41.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T09:50:39.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,69.20996414129854,NA,2022-06-03T07:50:39.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T10:10:33.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,68.89753566796368,NA,2022-06-03T08:10:33.000000Z
2022-06-01T02:00:00.000000Z,2023-04-18T15:52:11.000000Z,2022-06-03T10:20:30.000000Z,mqtt_consumer,grafana,helium/6c04443f07be/rx,69.52773327229724,NA,2022-06-03T08:20:30.000000Z
